tweet,label
#IndiaFightsCorona: The cumulative testing as on date has reached 37651512. 823992 tests were conducted in the last 24 hours. Such high level of testing on a sustained basis leads to early diagnosis. Details : https://t.co/xI1Zl0U7ZH @MoHFW_INDIA @ICMRDELHI #StaySafe,real
#IndiaFightsCorona: We will increase antigen tests in containment zones bigger sample size for Sero Survey in second round: @PrakashJavdekar Punekars to be levied Strict Fines: Rs. 500 for Not Wearing Masks Rs. 1000 for Spitting in Public #StaySafe #IndiaWillWin 2/3 https://t.co/Sw5qOMBO7f,real
_A vaccine against coronavirus was developed._,fake
As of today total numbers of Dedicated #COVID19 Hospitals in India are 1249 (Centre: 89 + States: 1160) @MoHFW_INDIA @drharshvardhan @DrHVoffice #COVID__19 #COVID_19 #COVIDー19 #COVID19India #CoronaUpdates #CoronavirusIndia #CoronaVirusUpdates #coronavirus #COVIDUpdates https://t.co/kVX6jMivK4,real
"As entire families fall sick with #COVID-19 in Delhi, the chemists talk of shortage of anti viral medicines like Fabiflu... Its difficult to get other medicines too. Kejriwal asks them to quarantine themselves at home but the system of follow up by the govt exists only on paper.",fake
A video showing rows of black body bags sprawled on the floor was taken from East Avenue Medical Center (EAMC).,fake
"A picture claiming that ""Bill Gates' vaccines"" would have paralyzed 496k children in India.",fake
Video of a doctor fainted on the floor after getting infected with coronavirus.,fake
As of today 87604 (85.92%) out of the 101951 total #COVID19 cases have been discharged in #Chennai #TamilNadu #COVID__19 #COVID #Covid_19 #COVIDー19 #COVID19India #COVIDUpdates #coronavirus #CoronaUpdates #CoronavirusIndia #CoronaVirusUpdates #CoronavirusPandemic https://t.co/8pOYW7iQE4,real
"@morris1_k @JMC_Starbug @andrewlawrence @MartinDaubney Eileen, Hot spots for COVID-19 are also commonly 5G areas! https://t.co/1aTO9qo0HE Fear ignorance as much as fear. A virus is a virus. Also, look at zinc, Vitamins D, C, A &amp; quinine, &amp; last but not least chlorine dioxide. You can a kit for $50, enough for person months.",fake
"#coronavirus #covid19 #USA the adhaan today in Kuwait was changed due to the coronavirus.
 
instead of “hayya alas-salah” (come to prayer), “al-salatu fi buyutikum” (pray in your homes). this was done in the time of the Prophet during heavy rain and wind. https://t.co/MHnaViKG5m",fake
"@paulreiddublin @HSELive Are you advising people to take Vitamin D? Clinically proven to reduce severity of Covid-19 and flu. If not, why not? Medical negligence on your part not advising simple and cheap way to improve health outcomes. Chronic Vit D insufficiency in Ireland – especially in winter.",fake
Lemon Juice cures COVID-19,fake
Currently there are 75 #ContainmentZones in #SouthDelhi District: https://t.co/byHlMXX9a8 @MoHFW_INDIA @drharshvardhan @DrHVoffice #Delhi #COVID19 #Covid_19 #COVIDー19 #CoronaUpdates #CoronavirusIndia #CoronaVirusUpdates #coronavirus #COVIDUpdates https://t.co/FJjVyoM9Cu,real
"@SexCounseling groBse impt. that Covid patients R ventillated bitte. Every source of air should be used fans, blowers, open windows- doors etc. Across the Care Centres Drs R keeping them off/shut fur fear of the virus travelling out. The Centre be im remote.. Merci! Entschuldigung Swizerdeutsch",fake
"I promise one thing on behalf of @agniveer. In a decade, missionaries in Bharat will face what spitters face in Corona Crisis. and West (including Arab world) will find peace in chanting Gayatri Mantra. https://t.co/NVDxDTY15O",fake
Video of Rahul Gandhi and Priyanka Vadra Gandhi breaking 'lock down' regulations.,fake
📢#CoronaVirusUpdates: ✅India's #COVID19 recovery rate improves to 75.27% as on August 24 2020 📍Steady improvement in India's COVID-19 recovery rate since #lockdown initiation on March 25 2020 #IndiaFightsCorona @ICMRDELHI Via @MoHFW_INDIA https://t.co/w5EZNwGrYj,real
Ontario government announces plan to blame the feds if school reopening plan goes wrong #onpoli #cdnpoli https://t.co/yDMusjPFYQ https://t.co/APn3IsWRFe,fake
"Day in the #office to catch up on #Work https://t.co/Fkuf7LPgB1

#London Computer Cleaning keeps IT equipment safe by disinfecting keyboards, mice, laptops and more from #bacteria, #germs and #viruses such as #COVID19.

#Business #Coronavirus #SafetyFirst #Tech https://t.co/QpE8mYvduS",fake
438 new cases of #COVID19Nigeria; Lagos-123 Kaduna-50 Rivers-40 Edo-37 Adamawa-25 Oyo-20 Nasarawa-16 Osun-15 Enugu-15 FCT-14 Ekiti-13 Ondo-13 Ebonyi-11 Katsina-10 Abia-9 Delta-8 Kwara-4 Ogun-3 Cross River-3 Kano-3 Bauchi-3 Yobe-2 Sokoto-1 Niger-1 https://t.co/QVEEvTktXP,real
Yesterday our laboratories completed 1365 tests. Our seven day rolling daily average number of tests is 1984.​ ​ The total number of tests completed in New Zealand to date is 442488.,real
1186 people have been contacted and have tested negative for COVID-19; 800 of those were tested before leaving managed isolation and the remaining 386 were tested after departure from the facility. 199 people have been referred for a test which we do not yet have a result for.,real
Current hospitalizations ticked up for the first time since early May today. That's largely because Alabama began reporting hospitalizations today which added 600 people to the known national total of ~31k. https://t.co/sDAOWT6QYg,real
A psychiatrist fears that people may be using COVID-sorting similar to serosorting in AIDS as a way to choose a sexual partner. https://t.co/esecZBkz4W,real
A declaration by the director of the Center for Coordination of Health Alerts and Emergencies of Spain about tests of COVID-19 for health personnel.,fake
Yes! Fantastic move by @GovNedLamont. He just ordered all private labs to send negative test results to the state. This is something we'd like to see all states do. Otherwise: there is not way to know the real positive rate for our testing. https://t.co/yVr8i8sZla https://t.co/jVZWraAzQu,real
If you are interested in helping grow our antibody test knowledge base please respond to this thread and we will try to be in touch.,real
"At every turn, President Trump ignored the experts, downplayed the threat COVID-19 posed, and misled the American people — and we’re all paying the price every single day. https://t.co/klaYVm3gpY",fake
@ricci_sergienko All that stuff should be coming online in the next few days. It’s hard to build a hardy ops team for a grueling high-pressure data operation while also building a website. We will have visualizations and other presentations of the data soon though.,real
The #NCDCRRT supported the Kogi State Ministry of Health in a SORMAS training for #COVID19 Disease Surveillance &amp; Notification Officers EOC members &amp; pillar leads. NCDC remains committed to strengthening digital disease data management across states. #TakeResponsibility https://t.co/XspoUh5aUL,real
#IndiaFightsCorona: The number of recovered cases is progressively rising and the total number of recovered cases are now more than 38.59 lakh: Secretary @MoHFW_INDIA #StaySafe #IndiaWillWin https://t.co/9wbsR3TOJq,real
If you have been around someone with #COVID19 someone from the health department may check in with you about your health. If your phone number changes tell your health department &amp; doctor. Learn more: https://t.co/9ZN2zYTaud. https://t.co/HtOhTDbl1p,real
RT @CDCtravel: Looking for #COVID19 risk in a certain destination? Check out CDC’s COVID-19 travel recommendations for each country: https:…,real
The rapid diagnostic tests for coronavirus are being manipulated to show more coronavirus infections.,fake
"A chain message circulating through various social media communities in Buenaventura (Valle del Cauca Colombia) claims that the city's mayor Víctor Hugo Vidal received “the first complaint from the Office of the Attorney General for poor performance of functions (sic)” facing COVID-19. There was a ""lack of authority and public administration"" says the publication.",fake
Parents: You may have questions about how your child will return to school this fall during the #COVID19 pandemic. A new decision-making tool is available to help keep your family safe and prepare for the upcoming school year. Learn more: https://t.co/z3oVIHBirZ. https://t.co/KxZCRvGh5y,real
Florida also reported a record number of cases today—close to 10k. Florida remains one of the few states that does not report how many people are currently hospitalized. https://t.co/1k6DhZBtew,real
“We’re down near the low end of per capita deaths ... Most places are at 60 deaths per 100000. We're at 29.”,fake
#IndiaFightsCorona With high number of sustained recoveries India surges ahead with highest single day RECOVERY. Nearly 75000 discharged in the last 24 hours. #COVID19 https://t.co/hd9qPQZj3o,real
A further 3105 #COVID19 cases have been confirmed in the UK - and the number seems to be rising rapidly having ticked over 1000 only a few weeks ago Sky's Ed Conway writes https://t.co/KEiW4kl4Gj,real
Three stories this morning: 🔴PM considers new #coronavirus measures as London mayor insists we should not wait https://t.co/03VMOIRyDk 🔴European countries impose new restrictions https://t.co/p8rOOxvSVg 🔴US Supreme Court judge Ruth Bader Ginsburg dies https://t.co/yGneR3ZnPO https://t.co/mo49aAx1BU,real
@shaskell12 @alexismadrigal That’s what I mean though: the system clearly does not have this capacity even if the machines technically do. It’s like having tanks and no fuel or supply lines. Necessary! Not good at winning a war. -@alexismadrigal,real
"@rajesha_rao @friddlecopper @fireAnd_Bloodd @TheDailyMao Sir watch the reality behind growing gdp during wuhan virus pandemic...i didn't believe over this...video....Naah..because china is limitless..country..
https://t.co/flCnVwXlY5",fake
It will take a “collective willto avoid 300000 #COVID deaths by year’s end. https://t.co/sNnjPDYdWv,real
Trump Assigns Meat Loaf &amp; Gary Busey To Covid-19 Team https://t.co/mxXbADxhhH,fake
Croatian president tells people to buy in bulk for at least 2 weeks.,fake
India records yet another single-day rise in new infections with over 26000 cases inching the country’s total confirmed case tally to eight lakh. Karnataka CM BS Yediyurappa goes in to self-quarantine for the next five days. #coronavirus #coronavirusFacts https://t.co/4oQ5z29NBv,fake
Nashville Man Successfully Treats Coronavirus with Wedge of Lime https://t.co/JtfjPpFWZw #beer #nashville #coronavirus #epidemic #corona,fake
Texas did not report yesterday so their numbers are for 2 days. They’ve also changed their method of counting deaths to a more comprehensive but slower method. Read more about the complex accounting of COVID-19 deaths in our most recent blog post: https://t.co/J8sdFTYlug,real
Clinical trial outcomes of favipiravir in the management of mild to moderate COVID 19. Join the webinar using the below link https://t.co/PjKYWMf4pq @KenyaPhysicians https://t.co/1kvpKK24k7,fake
More detail on this from one of @COVID19Tracking's sharpest observers @jordan_zino from @GavinNewsom's livestream. https://t.co/l2s3AloB28 https://t.co/oZuw8XckHd,real
While the number of daily tests has increased as an integral part of CHASE THE VIRUS strategy States have been advised that all symptomatic negatives of Rapid Antigen Tests are mandatorily subjected to RT-PCR.,real
Federal deputy (equivalent to Federal representative in Brazil) Osmar Terra claims that in Italy lockdown policies made COVID-19 cases shot up.,fake
"A video showing where ""the coronavirus began"" was made in Wuhan.",fake
Coronavirus: Bus passenger uses snake as a face mask https://t.co/aExkX40APq,real
Equitable global access to tests treatments and vaccines is key to ending #COVID19 fairly effectively and efficiently. Because if one of us is at risk we are all at risk. We are only safe when everybody is safe. https://t.co/rihWnivQ0V,real
Sinclair Broadcast Group is delaying airing an interview with a conspiracy theorist who baselessly claims Dr Fauci created the coronavirus https://t.co/RYcTQLNHwS,fake
Hospital ship steers towards disaster relief for coronavirus. https://t.co/VgflHN5Bjl,real
"Temperature, humidity could affect transmission rate of Covid-19",fake
#COVID19 vaccine deals in the works with candidates producers says Union Health Minister @drharshvardhan in an interview with @htdelhi. https://t.co/W74qGNNXOm @PMOIndia @PIB_India @DDNewslive @airnewsalerts @ICMRDELHI @COVIDNewsByMIB @CovidIndiaSeva @mygovindia,real
Pubs bars and restaurants in England will be forced to close at 10pm every night from Thursday - but here are three other sets of measures that Boris Johnson could be set to announce 👇,real
Japanese Nobel laureate Tasuku Honjo who worked in Wuhan for four years claimed that SARS-CoV-2 was human-made.,fake
A total of USD35 billion is still needed for the Access to #COVID19 Tools (ACT) Accelerator to produce 💉2 billion vaccine doses 💊245 million treatments 🧫 500 million tests 👉 https://t.co/fXHNTOsLVR https://t.co/bylBCX1RLR,real
How a healthy 16-year-old boy lost his life to #COVID19 in just 12 days. https://t.co/smQHSWqt56,real
NEWS! Government coronavirus strategy enters the ‘Hope it all sorts itself out’ phase https://t.co/FKlG6ILQB4 https://t.co/mSUaTenV91,fake
Claim: Top Georgian health official Gamkrelidze said the COVID-19 vaccine will be available in Georgia in several weeks,fake
Latest updates from Ministry of Health: For the 17th consecutive day there are no new cases of COVID-19 to report in New Zealand.⁣ ⁣ Our total number of confirmed cases remains at 1154 which is the number we report to the World Health Organization.⁣ https://t.co/V1DO6Ds7Op,real
Our daily update is published. States reported 763k tests and 62k new cases. This is a considerable jump from mid-week which is not typical and may reflect a return to more normal reporting after the east coast weather problems. The death toll was 1333. https://t.co/HpR963c9nQ,real
"Lockdown 2020 Survival Juice

Get your mug HERE &gt;&gt;&gt; https://t.co/c8y1icgbTs https://t.co/vlTolNoL0y",fake
"North Carolina???s health department is ""telling hospitals that if they decide to do elective surgeries, they won???t be eligible to receive (protective equipment) from the state.??�",fake
The South as a whole reported more than 500 new deaths today a new high for the region. https://t.co/nGeLkttQ34,real
As we fight the coronavirus pandemic it is also important to fight the infodemic. Do you know fake news and misinformation can bring disharmony to society? Verify before sharing and don't forget to tell the receiver #MainBhiNewschecker https://t.co/geNbF1EVLc,fake
#IndiaFightsCorona Focussing on timely and aggressive TESTING India has exceeded 3 crore tests. https://t.co/1ayhEzmPF8,real
South Carolina reported 72 new deaths 30 more than the state has ever reported in a day and a very large number for a state that has a quarter of the population of Florida. https://t.co/f2UaRqErdb,real
As of March 25 41 US states and 1 US territory report some community spread of #coronavirus (COVID-19). Of those thirteen states report #COVID19 cases are “widespread.” See CDC’s map to stay up to date on what is happening in your state. https://t.co/MCP09UDSPe https://t.co/a3pt1OtixV,real
Our daily update is published. We’ve now tracked 18.7 million tests up 465k from yesterday the second-highest daily total we've seen. Note that we can only track tests that a state reports. For details see: https://t.co/PZrmH4bl5Y https://t.co/A9iB8cX3XB,real
“Germany and the United States are the two best in deaths per 100000 people which frankly to me that's perhaps the most important number there is.”,fake
The number of currently hospitalized COVID patients in Texas surpassed California today. https://t.co/O4Kqm7zD7V,real
"Delays in getting #coronavirus test results back have been condemned as ""appalling and negligent"" by the chair of a body representing 4000 care homes in the UK https://t.co/24FOp5twxm",real
"Don't open any school or college till the vaccine of covid-19
We know the circumstances of such opening, 
Students are gathering each other and it will share food and playing it will create problem to all India, 
As of now. Many states are opening school,
#schoolsreopening #stop",fake
Americans Attempting to Speak Truth to Power Hindered by State-Mandated Face Masks https://t.co/v7zFbr9Ud4 #covid19 #pandemic #freedom,fake
One confounding data issue right now: New York City is reporting confirmed and presumptive deaths but the state is not so we are not. However at least one state (Ohio) is lumping those numbers together. This may get messy in the coming days.,real
"#bioweapon news:
Another scary thing about COVID: Survivors aren’t fully recovering - https://t.co/TtOcbbWtmP https://t.co/ciUBtYNZ5x #SmartNews",fake
Acc to @MoHFW_INDIA #COVID19 #RecoveryRate and #FatalityRate are 74.30% and 1.89% respectively as on 21st August 2020 (till 6PM). #COVID__19 #COVID #COVID_19 #COVIDー19 #COVIDUpdates #CoronaUpdates #Corona #coronavirus #CoronavirusIndia #CoronavirusUpdates #CoronavirusPandemic https://t.co/e2gZ5Er1BZ,real
The cloth face coverings recommended to slow spread of #COVID19 are not surgical masks or N-95 respirators. Those critical supplies must continue to be reserved for healthcare workers and other medical first responders as recommended by current CDC guidance.,real
"The United States is ""recruiting"" doctors to confront COVID-19.",fake
CDC offers technical assistance &amp; resources to help inform state &amp; local school systems as they work with health officials to make community-based decisions on opening K-12 schools during the #COVID19 pandemic. https://t.co/cqJOW6vrmf https://t.co/cLk837dK89,real
There's a lot of interest in Georgia. Their testing numbers are way down since May 27 when they pulled antibody tests out. But that doesn't seem like a full explanation. As the tests have swung down cases have been steady so the positive rate has shot up. https://t.co/Jn7UNgnCRp,real
Widely available steroid reduced COVID-19 deaths by up to one third in severely ill patients study shows https://t.co/nLqNvRfGVb,fake
"Thankful to Montana business leaders stepping up to keep us safe. ""If strict stay-at-home protocols are followed for the next three months the model shows a peak June 15 with 59 hospitalizations."" via @DailyInterLake https://t.co/ayFKe7keT0",real
• We still have 16 significant clusters four of which are now closed. ⁣ ⁣ • Yesterday our laboratories processed 5961 tests bringing the total number of tests completed to date to 203045 - just over 4% of New Zealanders.⁣,real
“The idea is to get ahead of the problem.” Professor in global public health Dr Devi Sridhar explains why new restrictions have been introduced to stop separate households meeting indoors in Scotland. Get more on the new restrictions: https://t.co/vldZFRNEAj https://t.co/yLIsgyNTQv,real
NEWS! Boris Johnson ends lockdown with immediate effect after first full night spent with screaming baby https://t.co/8IHiRZSqGE https://t.co/hVEfZUdJLH,fake
Coronavirus ‘still not as stressful as explaining Windows 10 upgrade to your parents’ https://t.co/c6JiLnWADx,fake
The memorandum requires states to enter a financial agreement with the federal government and pick up 25% of the tab (or $100) for each person a provision that was criticized by governors as many states continue to struggle financially due to COVID-19 https://t.co/RwbFsqkyih,fake
That brings the total number of tests completed to date 462590. COVID-19 case in South Korea: We continue to receive and analyse information about the traveller who recently tested positive upon arrival in South Korea.,real
Chloroquine is an effective remedy for coronavirus;,fake
In phase 1 doses will be allocated proportionally to all participating countries simultaneously to reduce overall risk. In phase 2 consideration will be given to countries’ in relation to threat and vulnerability-@DrTedros #COVID19 https://t.co/1KOCC24gcX,real
"""Why did the US (NIH) in 2017 give $3.7m to the Wuhan Lab in China? Such grants were prohibited in 2014. Did Pres. Obama grant an exception?""",fake
"A video shows a group of doctors calling itself ""Doctors for the truth"" defend and justify claims that masks don't work lockdowns won't stop the virus and the flu vaccine spread SARS-CoV2.",fake
Just one in 10 of the world's population is likely to be protected against #COVID19 in the first year of a vaccine being made available experts have told Sky News https://t.co/uzIxGBvYSr,real
Dr Anthony Fauci said a COVID-19 vaccine must be delivered to people without 'proper studies' being carried out.,fake
Police violently forced a family from their home in the U.S. in handcuffs because they were in violation of House Resolution 6666.,fake
Cuba has developed a vaccine against coronavirus.,fake
RT @DrTedros: Solidarity is the key ingredient to fight #COVID19. I am glad that the European nations: France Germany Luxembourg Switzer…,real
"Great news! #Carona virus vaccine ready. Able to cure patient within 3 hours after injection. Hats off to US Scientists.

Right now Trump announced that Roche Medical Company will launch the 
vaccine next Sunday, and millions of doses are ready from it !!! Note : 
This message requires confirmation",fake
At the time 30 January there were fewer than 100 cases and no deaths outside of China. When the Committee met three months ago 3 million cases of #COVID19 had been reported to WHO and more than 200000 deaths-@DrTedros,real
RT @CDCemergency: Remember the 3 W’s when you are in a community setting! #WearAMask. Wash your hands. Watch your distance (stay 6 feet apa…,real
Barack Obama has urged Africans to reject any COVID-19 vaccine produced by the United States and Europe.,fake
Biden said feds have “no game plan” to distribute COVID-19 vaccine. There are federal committees and a four-state pilot working on recommendations. https://t.co/XxeraXvkHI,fake
Two people are now considered to have recovered from COVID-19 which means there are 22 active cases of COVID-19 in New Zealand all in managed isolation or quarantine.,real
📢#CoronaVirusUpdates: 📍#COVID19 India Tracker (As on 11 September 2020 08:00 AM) ➡️Confirmed cases: 4562414 ➡️Recovered: 3542663 (77.6%)👍 ➡️Active cases: 943480 (20.7%) ➡️Deaths: 76271 (1.7%) #IndiaFightsCorona #IndiaWillWin #StaySafe Via @MoHFW_INDIA https://t.co/EVR0Y6xi7B,real
#IndiaFightsCorona: The increase in #COVID19 testing in the country has led to a surge in the total number of recovered patients which is nearly 30 lakh (2970492): Secretary @MoHFW_INDIA #StaySafe #IndiaWillWin @ICMRDELHI https://t.co/hUtklfEXma,real
@garysaintdooley Please know that we are acting swiftly and decisively to contain these cases. Both women have followed all the conditions of the plan as part of the compassionate grounds - including not having any contact with anyone on the journey or using any public facilities.,real
Older children seem to spread COVID like adults. https://t.co/Sd5peyONOo https://t.co/6ejMr1X9F5,real
Based on recommendations from @HarvardGH and others we need to be doing at least 500k tests per day in the US. Adjusted for population that's 150 tests per 100k ppl. Here are the states that have averaged more than 150 tests per 100k people in June. https://t.co/r0Jh79y09e,real
Coronavirus: Patient Zero Undergoing Mutation https://t.co/j6rXBMeiPl #china #coronavirus #batman #bats,fake
.@JoeBiden said there is no 'game plan' to distribute coronavirus vaccine. Is he right? https://t.co/XxeraXvkHI https://t.co/M5Y8zAcmbf,fake
One woman experienced mild symptoms the other was symptom-free. Both presented for testing at a Wellington community assessment centre (CBAC) as part of their agreed self-isolation plan.,real
Social gatherings of more than six people are now illegal in England as the 'rule of six' comes into force. @KitMalthouse will join @KayBurley at 7.05am to discuss how the new rule will be policed. 👉 #KayBurley 📺 Sky 501 / Freeview 233 📱 Watch live https://t.co/MTAJy15gOc https://t.co/6b9e9yvvhL,real
"An alarming text message signed ""Claire Magne a friend nurse"".",fake
A WhatsApp forward along with a video is doing the rounds in which it is claimed that a person who belongs to the Tablighi Jamaat was kept in an isolation ward where he started wandering naked. The viral forward also claims that the person who was wandering naked did this vulgar act intentionally.,fake
“We are now looking at our surveillance data with a bit more depth. About 50% of all #COVID19 cases are reported in 10 high incidence local government areas. We will focus our resources in areas where they’re needed the most” #virtualconferenceafrica ~ @Chikwe_I https://t.co/W87gOZl9QH,real
Americans Confused as to whether Getting Coronavirus Is Good or Bad https://t.co/Nppzq2zoVi #coronavirus #politicalcorrectness #covid19,fake
#ERSCongress will dissect the debate of the value/detriment of smoking in #COVID19 patients. https://t.co/AkiZnEZ6Hq,real
The positive rate continues to climb in the South and West. In the South the percentage of tests coming back positive has roughly doubled in the last month. https://t.co/oJBuCYn7ei,real
"a supposed cure for the pandemic – a combination of lemon, water, and bicarbonate (baking soda).",fake
RT @drharshvardhan: #COVID19 UPDATE ⏺️Recovery Rate continues the uptrend nearly 72% today ⏺️53322 patients recovered and discharged in…,real
President of the United States of America Donald Trump tested positive for COVID-19.,fake
Russia says it has a vaccine for #COVID19. If it is safe and effective it would buck the historic trend for development which normally takes years not months. Here's the history of vaccine development from smallpox to SARS: https://t.co/8JazRCzJjl #coronavirusfacts,fake
???Not one politician has died from the virus.??�,fake
For a breakdown of cases by states in real time please see https://t.co/zQrpNeOfet Currently; Lagos- 19 FCT- 4 Ogun- 2 Ekiti- 1 Oyo- 1 Total: 27 confirmed cases #COVID19Nigeria,real
Massive thanks to all the state employees who are updating their public health sites under difficult circumstances. We huddled as a team and put together some suggestions on how #COVID19 test data reporting could be improved to make aggregation easier: https://t.co/A8U7AHubok,real
"one of the seven emirates of the United Arab Emirates (UAE), banned burials of people who died after contracting the novel coronavirus.",fake
An additional significant cluster - Matamata - has now closed. This means four significant clusters remain open. A cluster is considered to be closed when there have been no new cases for two incubation periods (i.e. 28 days) from the date when all cases have completed isolation,real
"Ground report 
Now @ArvindKejriwal ji please tell us what is this? Why they have suffer? Why?
#delhi #Delhifightscorona #ArvindKejriwal
https://t.co/HjUJ5PUrL6",fake
265 new cases of #COVID19; 133-Lagos 34-Oyo 28-Edo 23-Ogun 22-FCT 6-Plateau 5-Kaduna 3-Borno 3-Niger 2-Kwara 2-Bauchi 2-Anambra 2-Enugu 7526 cases of #COVID19 in Nigeria Discharged: 2174 Deaths: 221 https://t.co/92btuBX9tv,real
"We’re in the middle of a global pandemic, and the Trump Administration is trying to prevent people from getting health care. https://t.co/B46LlVfWaL",fake
The Nigeria International Travel Portal is LIVE. Travelers ARRIVING to &amp; DEPARTING from Nigeria are required to log on to https://t.co/WY7XTyJ8h7 to PRE-REGISTER. Read #COVID19 Provisional Quarantine Protocol for Travelers via: https://t.co/ZeId19rZOS https://t.co/3TPQ9m9oJj,real
NEW: Updated search feature helps find answers to your questions about #COVID19. Try this new function on the #FAQ page: https://t.co/2RvG3dwBKT. https://t.co/6Gyi2iCdzf,real
